Day,0.04,0.08,0.13,0.17,0.21,0.23,0.25,0.27,0.29,0.31,0.33,0.38,0.42,0.46,0.50,0.54,0.58,0.63,0.67,0.71,0.73,0.75,0.77,0.79,0.81,0.83,0.85,0.88,0.92,0.96,0.00
21.00,840.10,835.10,829.50,824.60,810.80,801.70,786.30,798.30,810.40,921.30,914.30,881.20,948.90,891.40,878.10,893.90,881.00,874.60,875.90,876.50,899.40,894.40,905.60,918.50,1244.10,1234.40,1230.20,1128.20,878.70,911.80,882.80
22.00,871.60,852.60,848.70,852.70,858.10,841.60,843.70,879.00,913.10,928.60,928.90,996.70,995.50,986.10,996.40,977.20,978.90,992.20,988.30,1012.00,976.30,961.30,956.80,986.40,1330.50,1326.10,1288.10,985.40,984.70,967.50,899.90
23.00,917.20,901.00,880.40,881.10,865.40,855.10,867.30,896.90,906.50,909.50,931.40,947.40,887.90,891.80,163.20,894.50,940.40,907.70,946.60,901.70,900.40,891.90,883.20,1094.10,1274.80,1289.00,1273.10,1126.00,985.00,897.80,898.40
24.00,867.90,828.70,816.80,801.80,878.20,831.70,810.90,829.40,859.60,902.10,921.70,918.60,940.00,931.20,934.40,942.60,897.80,932.40,937.20,937.40,919.00,918.20,902.10,1076.90,955.10,1264.20,1253.30,1231.40,1033.40,929.00,912.80
25.00,903.10,888.80,858.20,870.20,879.10,869.80,848.00,900.70,916.50,974.40,985.00,913.60,949.10,932.70,941.70,951.80,947.50,835.70,836.50,953.30,934.00,931.90,906.60,976.10,969.30,1268.10,1209.00,1148.90,926.00,908.80,909.10
26.00,874.40,818.60,813.20,809.00,823.90,823.90,811.80,835.70,892.90,798.40,907.80,885.20,879.40,881.40,852.80,836.30,855.20,892.70,895.80,921.60,913.10,916.60,916.80,954.40,1278.70,1210.80,1140.10,1016.30,895.10,882.50,844.50
27.00,798.00,780.70,781.70,665.70,771.30,781.70,783.90,798.10,824.10,803.80,868.40,869.50,838.70,899.90,882.80,885.40,903.10,897.50,871.30,908.40,885.20,887.50,900.80,1099.50,1189.60,1154.50,861.40,168.60,163.60,812.70,771.50
28.00,837.90,776.40,752.80,745.30,157.00,157.00,161.10,796.70,863.10,867.20,869.50,891.40,900.90,900.40,881.50,904.00,879.20,906.60,916.00,902.20,921.50,960.40,977.00,1042.10,1225.10,1216.40,923.70,891.60,774.20,761.30,709.50
29.00,684.40,628.20,634.80,627.20,654.40,626.70,693.80,747.40,778.70,828.30,818.00,809.00,823.20,806.90,810.20,742.30,823.00,808.90,819.80,827.50,822.10,836.70,843.90,1023.20,1210.60,978.90,964.90,947.00,893.60,864.20,866.80
30.00,757.10,757.10,741.00,717.10,724.70,742.90,765.00,794.00,817.80,832.80,845.10,855.10,858.60,858.20,839.60,860.90,883.40,883.40,846.70,848.20,843.40,871.30,945.00,952.00,1017.20,1013.80,953.00,719.50,700.30,679.60,639.00
31.00,664.50,652.60,626.10,612.30,604.00,632.60,644.80,678.60,728.70,767.60,737.40,733.90,769.00,891.10,870.20,899.30,993.40,1024.80,983.70,1005.60,972.80,947.00,960.00,1034.10,1121.60,1019.00,1037.20,844.10,838.50,806.70,776.30
32.00,850.40,812.20,825.90,828.90,826.50,814.50,826.50,912.40,914.60,913.60,905.60,922.60,916.80,906.00,939.30,939.90,933.40,945.60,949.60,939.70,968.10,964.00,981.10,1291.00,1329.20,1288.30,1211.40,942.70,935.60,917.10,825.20
